Station_ID,Date_Time,KSLCPress,KSLCTemp,KSLCHumid,KSLCWind,KSLCCloud3,KSLCCloud1,KSLCCloud2,KSLCVis
KSLC,12/01/2022 02:54 UTC,29.84,42.08,39.18,14.96,,1206.0,2002.0,10.0
KSLC,12/01/2022 02:55 UTC,29.84,42.08,39.18,14.96,,1.0,,10.0
KSLC,12/01/2022 03:00 UTC,29.84,42.8,38.71,12.66,,1.0,,10.0
KSLC,12/01/2022 03:05 UTC,29.84,42.8,38.71,13.81,,1.0,,10.0
KSLC,12/01/2022 03:10 UTC,29.84,42.08,39.18,12.66,,1.0,,10.0
KSLC,12/01/2022 03:15 UTC,29.84,41.0,40.85,11.51,,1.0,,10.0
KSLC,12/01/2022 03:20 UTC,29.84,41.0,41.49,10.36,,1.0,,10.0
KSLC,12/01/2022 03:25 UTC,29.84,41.0,42.46,10.36,,1.0,,10.0
KSLC,12/01/2022 03:30 UTC,29.84,42.8,38.71,11.51,,1.0,,10.0
KSLC,12/01/2022 03:35 UTC,29.84,44.6,36.13,20.71,,1.0,,10.0
KSLC,12/01/2022 03:40 UTC,29.84,44.96,33.5,19.56,,1.0,,10.0
KSLC,12/01/2022 03:45 UTC,29.84,44.6,36.13,18.41,,1.0,,10.0
KSLC,12/01/2022 03:50 UTC,29.85,44.6,36.13,13.81,,1.0,,10.0
KSLC,12/01/2022 03:54 UTC,29.84,42.98,37.85,14.96,,1006.0,1403.0,10.0
KSLC,12/01/2022 03:55 UTC,29.85,42.8,38.71,14.96,,1.0,,10.0
KSLC,12/01/2022 04:00 UTC,29.85,42.8,38.71,12.66,,1.0,,10.0
KSLC,12/01/2022 04:05 UTC,29.85,44.6,36.13,14.96,,1.0,,10.0
KSLC,12/01/2022 04:10 UTC,29.85,44.06,34.67,13.81,,1.0,,10.0
KSLC,12/01/2022 04:15 UTC,29.85,42.98,37.85,13.81,,1.0,,10.0
KSLC,12/01/2022 04:20 UTC,29.85,44.6,33.44,18.41,,1.0,,10.0
KSLC,12/01/2022 04:25 UTC,29.85,42.8,38.71,13.81,,1.0,,10.0
KSLC,12/01/2022 04:30 UTC,29.85,42.8,38.71,11.51,,1.0,,10.0
KSLC,12/01/2022 04:35 UTC,29.85,42.8,38.71,13.81,,1.0,,10.0
KSLC,12/01/2022 04:40 UTC,29.85,42.98,37.85,11.51,,1.0,,10.0
KSLC,12/01/2022 04:45 UTC,29.85,42.08,40.72,11.51,,1.0,,10.0
KSLC,12/01/2022 04:50 UTC,29.85,42.08,40.72,11.51,,1006.0,1403.0,10.0
KSLC,12/01/2022 04:54 UTC,29.85,42.08,40.72,11.51,,1006.0,1403.0,10.0
KSLC,12/01/2022 04:55 UTC,29.85,42.08,40.72,11.51,,1.0,,10.0
KSLC,12/01/2022 05:00 UTC,29.85,42.8,38.71,10.36,,1.0,,10.0
KSLC,12/01/2022 05:05 UTC,29.85,42.8,38.71,10.36,,1.0,,10.0
KSLC,12/01/2022 05:10 UTC,29.85,42.08,40.72,8.06,,1.0,,10.0
KSLC,12/01/2022 05:15 UTC,29.85,41.0,44.46,10.36,,1.0,,10.0
KSLC,12/01/2022 05:20 UTC,29.85,41.0,44.46,10.36,,1.0,,10.0
KSLC,12/01/2022 05:25 UTC,29.85,41.0,44.46,10.36,,1.0,,10.0
KSLC,12/01/2022 05:30 UTC,29.85,42.08,40.72,13.81,,1.0,,10.0
KSLC,12/01/2022 05:35 UTC,29.85,42.08,40.72,14.96,,1.0,,10.0
KSLC,12/01/2022 05:40 UTC,29.84,42.08,40.72,13.81,,1.0,,10.0
KSLC,12/01/2022 05:45 UTC,29.85,42.8,38.71,12.66,,956.0,1303.0,10.0
KSLC,12/01/2022 05:50 UTC,29.85,42.8,38.71,13.81,,956.0,1303.0,10.0
KSLC,12/01/2022 05:54 UTC,29.85,42.98,39.34,13.81,,956.0,1303.0,10.0
KSLC,12/01/2022 05:55 UTC,29.85,42.8,38.71,13.81,,1.0,,10.0
KSLC,12/01/2022 06:00 UTC,29.85,42.8,38.71,11.51,,1.0,,10.0
KSLC,12/01/2022 06:05 UTC,29.86,42.8,38.71,10.36,,1.0,,10.0
KSLC,12/01/2022 06:10 UTC,29.86,42.98,39.34,9.21,,1.0,,10.0
KSLC,12/01/2022 06:15 UTC,29.85,42.08,40.72,9.21,,1.0,,10.0
KSLC,12/01/2022 06:20 UTC,29.85,42.08,40.72,9.21,,1.0,,10.0
KSLC,12/01/2022 06:25 UTC,29.85,42.08,42.64,9.21,,1.0,,10.0
KSLC,12/01/2022 06:30 UTC,29.84,42.8,41.8,11.51,,1.0,,10.0
KSLC,12/01/2022 06:35 UTC,29.84,42.8,38.71,9.21,,1.0,,10.0
KSLC,12/01/2022 06:40 UTC,29.85,42.98,39.34,10.36,,1.0,,10.0
KSLC,12/01/2022 06:45 UTC,29.84,42.8,41.8,10.36,,1006.0,,10.0
KSLC,12/01/2022 06:50 UTC,29.84,42.8,41.8,9.21,,1006.0,1403.0,10.0
KSLC,12/01/2022 06:54 UTC,29.84,42.98,41.19,11.51,,1006.0,1403.0,10.0
KSLC,12/01/2022 06:55 UTC,29.84,42.98,41.19,11.51,,1.0,,10.0
KSLC,12/01/2022 07:00 UTC,29.84,42.98,39.34,10.36,,1.0,,10.0
KSLC,12/01/2022 07:05 UTC,29.84,42.08,42.64,9.21,,1.0,,10.0
KSLC,12/01/2022 07:10 UTC,29.84,42.98,41.19,9.21,,1206.0,,10.0
KSLC,12/01/2022 07:15 UTC,29.84,42.98,41.19,8.06,,1206.0,,10.0
KSLC,12/01/2022 07:20 UTC,29.84,42.98,41.19,6.91,,1202.0,,10.0
KSLC,12/01/2022 07:25 UTC,29.83,42.98,41.19,10.36,,1202.0,,10.0
KSLC,12/01/2022 07:30 UTC,29.83,44.6,39.02,10.36,,1206.0,,10.0
KSLC,12/01/2022 07:35 UTC,29.82,44.6,39.02,10.36,,1202.0,,10.0
KSLC,12/01/2022 07:40 UTC,29.82,44.06,39.52,12.66,,1202.0,,10.0
KSLC,12/01/2022 07:45 UTC,29.82,44.6,39.02,11.51,,1203.0,,10.0
KSLC,12/01/2022 07:50 UTC,29.82,44.6,36.13,12.66,,1006.0,1203.0,10.0
KSLC,12/01/2022 07:54 UTC,29.82,44.96,36.47,11.51,,1006.0,1203.0,10.0
KSLC,12/01/2022 07:55 UTC,29.82,44.96,36.47,11.51,,1203.0,,10.0
KSLC,12/01/2022 08:00 UTC,29.82,44.6,36.13,13.81,,1203.0,,10.0
KSLC,12/01/2022 08:05 UTC,29.82,44.6,36.13,9.21,,1203.0,,10.0
KSLC,12/01/2022 08:10 UTC,29.82,44.06,39.52,9.21,,1202.0,,10.0
KSLC,12/01/2022 08:15 UTC,29.81,44.96,36.47,10.36,,1206.0,,10.0
KSLC,12/01/2022 08:20 UTC,29.81,44.96,38.19,9.21,,1206.0,,10.0
KSLC,12/01/2022 08:25 UTC,29.81,44.06,39.52,9.21,,1.0,,10.0
KSLC,12/01/2022 08:30 UTC,29.81,44.06,39.52,8.06,,1.0,,10.0
KSLC,12/01/2022 08:35 UTC,29.8,44.06,39.52,8.06,,1.0,,10.0
KSLC,12/01/2022 08:40 UTC,29.8,44.06,39.52,9.21,,1.0,,10.0
KSLC,12/01/2022 08:45 UTC,29.8,44.06,39.52,8.06,,1.0,,10.0
KSLC,12/01/2022 08:50 UTC,29.79,42.98,41.19,8.06,,1106.0,1503.0,10.0
KSLC,12/01/2022 08:54 UTC,29.79,44.06,39.52,6.91,,1106.0,1503.0,10.0
KSLC,12/01/2022 08:55 UTC,29.8,44.06,39.52,5.75,,1.0,,10.0
KSLC,12/01/2022 09:00 UTC,29.8,42.98,41.19,5.75,,1.0,,10.0
KSLC,12/01/2022 09:05 UTC,29.79,42.98,41.19,5.75,,1.0,,10.0
KSLC,12/01/2022 09:10 UTC,29.79,42.98,41.19,6.91,,1.0,,10.0
KSLC,12/01/2022 09:15 UTC,29.79,42.98,41.19,6.91,,1.0,,10.0
KSLC,12/01/2022 09:20 UTC,29.79,42.8,41.8,8.06,,1.0,,10.0
KSLC,12/01/2022 09:25 UTC,29.79,42.98,41.19,10.36,,1.0,,10.0
KSLC,12/01/2022 09:30 UTC,29.79,44.6,39.02,10.36,,1.0,,10.0
KSLC,12/01/2022 09:35 UTC,29.79,42.8,41.8,9.21,,1.0,,10.0
KSLC,12/01/2022 09:40 UTC,29.79,42.98,41.19,8.06,,1.0,,10.0
KSLC,12/01/2022 09:45 UTC,29.78,42.8,41.8,8.06,,1.0,,10.0
KSLC,12/01/2022 09:50 UTC,29.78,42.8,41.8,8.06,,1503.0,,10.0
KSLC,12/01/2022 09:54 UTC,29.78,42.98,41.19,8.06,,1503.0,,10.0
KSLC,12/01/2022 09:55 UTC,29.78,42.98,41.19,8.06,,1.0,,10.0
KSLC,12/01/2022 10:00 UTC,29.78,44.6,39.02,10.36,,1.0,,10.0
KSLC,12/01/2022 10:05 UTC,29.78,44.6,39.02,12.66,,1.0,,10.0
KSLC,12/01/2022 10:10 UTC,29.77,44.96,36.47,14.96,,1.0,,10.0
KSLC,12/01/2022 10:15 UTC,29.77,44.96,36.47,16.11,,1.0,,10.0
KSLC,12/01/2022 10:20 UTC,29.76,44.6,36.13,17.26,,1.0,,10.0
KSLC,12/01/2022 10:25 UTC,29.76,44.96,36.47,17.26,,1.0,,10.0
KSLC,12/01/2022 10:30 UTC,29.76,44.06,37.75,17.26,,1.0,,10.0
KSLC,12/01/2022 10:35 UTC,29.76,44.6,36.13,16.11,,1.0,,10.0
KSLC,12/01/2022 10:40 UTC,29.76,44.06,37.75,20.71,,1.0,,10.0
KSLC,12/01/2022 10:45 UTC,29.76,44.6,36.13,17.26,,1502.0,,10.0
KSLC,12/01/2022 10:50 UTC,29.75,44.6,36.13,19.56,,1502.0,,10.0
KSLC,12/01/2022 10:54 UTC,29.75,44.06,36.32,19.56,,1502.0,,10.0
KSLC,12/01/2022 10:55 UTC,29.75,44.06,36.32,20.71,,1.0,,10.0
KSLC,12/01/2022 11:00 UTC,29.75,44.6,36.13,18.41,,1.0,,10.0
KSLC,12/01/2022 11:05 UTC,29.75,44.6,36.13,19.56,,1.0,,10.0
KSLC,12/01/2022 11:10 UTC,29.75,42.98,39.34,18.41,,1.0,,10.0
KSLC,12/01/2022 11:15 UTC,29.75,44.06,37.75,18.41,,1.0,,10.0
KSLC,12/01/2022 11:20 UTC,29.75,44.6,36.13,18.41,,1.0,,10.0
KSLC,12/01/2022 11:25 UTC,29.75,42.98,37.85,18.41,,1.0,,10.0
KSLC,12/01/2022 11:30 UTC,29.75,42.98,37.85,17.26,,1.0,,10.0
KSLC,12/01/2022 11:35 UTC,29.75,42.8,38.71,17.26,,1.0,,10.0
KSLC,12/01/2022 11:40 UTC,29.75,42.98,37.85,16.11,,1.0,,10.0
KSLC,12/01/2022 11:45 UTC,29.74,42.8,38.71,17.26,,1.0,,10.0
KSLC,12/01/2022 11:50 UTC,29.74,42.8,38.71,13.81,,1506.0,,10.0
KSLC,12/01/2022 11:54 UTC,29.74,42.08,39.18,16.11,,1506.0,,10.0
KSLC,12/01/2022 11:55 UTC,29.74,42.08,39.18,16.11,,1.0,,10.0
KSLC,12/01/2022 12:00 UTC,29.74,42.8,38.71,17.26,,1.0,,10.0
KSLC,12/01/2022 12:05 UTC,29.74,42.8,38.71,16.11,,1.0,,10.0
KSLC,12/01/2022 12:10 UTC,29.73,42.08,37.4,16.11,,1.0,,10.0
KSLC,12/01/2022 12:15 UTC,29.73,42.08,37.4,16.11,,1.0,,10.0
KSLC,12/01/2022 12:20 UTC,29.73,42.8,35.82,14.96,,1.0,,10.0
KSLC,12/01/2022 12:25 UTC,29.72,42.08,37.4,16.11,,1.0,,10.0
KSLC,12/01/2022 12:30 UTC,29.72,42.8,38.71,16.11,,1.0,,10.0
KSLC,12/01/2022 12:35 UTC,29.72,42.8,38.71,19.56,,1.0,,10.0
KSLC,12/01/2022 12:40 UTC,29.72,42.08,39.18,19.56,,1.0,,10.0
KSLC,12/01/2022 12:45 UTC,29.72,42.8,38.71,18.41,,1.0,,10.0
KSLC,12/01/2022 12:50 UTC,29.72,42.8,38.71,19.56,,1506.0,2003.0,10.0
KSLC,12/01/2022 12:54 UTC,29.72,42.08,39.18,21.86,,1506.0,2003.0,10.0
KSLC,12/01/2022 12:55 UTC,29.72,42.08,39.18,21.86,,1.0,,10.0
KSLC,12/01/2022 13:00 UTC,29.72,42.8,38.71,21.86,,1.0,,10.0
KSLC,12/01/2022 13:05 UTC,29.73,42.8,38.71,21.86,,1.0,,10.0
KSLC,12/01/2022 13:10 UTC,29.73,42.98,37.85,20.71,,1.0,,10.0
KSLC,12/01/2022 13:15 UTC,29.73,42.98,37.85,21.86,,1.0,,10.0
KSLC,12/01/2022 13:20 UTC,29.73,42.8,38.71,19.56,,1.0,,10.0
KSLC,12/01/2022 13:25 UTC,29.73,42.08,39.18,19.56,,1.0,,10.0
KSLC,12/01/2022 13:30 UTC,29.73,42.8,38.71,18.41,,1.0,,10.0
KSLC,12/01/2022 13:35 UTC,29.72,42.8,38.71,20.71,,1.0,,10.0
KSLC,12/01/2022 13:40 UTC,29.72,42.08,39.18,20.71,,1.0,,10.0
KSLC,12/01/2022 13:45 UTC,29.72,41.0,41.49,20.71,,1803.0,,10.0
KSLC,12/01/2022 13:50 UTC,29.72,41.0,41.49,18.41,,1803.0,,10.0
KSLC,12/01/2022 13:54 UTC,29.72,41.0,42.46,16.11,,1803.0,,10.0
KSLC,12/01/2022 13:55 UTC,29.72,41.0,42.46,18.41,,1.0,,10.0
KSLC,12/01/2022 14:00 UTC,29.72,42.08,40.72,20.71,,1.0,,10.0
KSLC,12/01/2022 14:05 UTC,29.72,42.08,39.18,19.56,,1.0,,10.0
KSLC,12/01/2022 14:10 UTC,29.73,42.08,39.18,16.11,,1.0,,10.0
KSLC,12/01/2022 14:15 UTC,29.73,42.08,39.18,16.11,,1.0,,10.0
KSLC,12/01/2022 14:20 UTC,29.73,42.08,39.18,17.26,,1.0,,10.0
KSLC,12/01/2022 14:25 UTC,29.73,42.08,39.18,16.11,,1.0,,10.0
KSLC,12/01/2022 14:30 UTC,29.72,42.08,39.18,19.56,,1.0,,10.0
KSLC,12/01/2022 14:35 UTC,29.72,42.08,39.18,18.41,,1.0,,10.0
KSLC,12/01/2022 14:40 UTC,29.72,42.98,37.85,16.11,,1.0,,10.0
KSLC,12/01/2022 14:45 UTC,29.73,42.98,37.85,16.11,,1.0,,10.0
KSLC,12/01/2022 14:50 UTC,29.73,42.08,39.18,13.81,2403.0,1406.0,2002.0,10.0
KSLC,12/01/2022 14:54 UTC,29.73,42.08,39.18,13.81,2403.0,1406.0,2002.0,10.0
KSLC,12/01/2022 14:55 UTC,29.73,42.08,40.72,12.66,,1.0,,10.0
KSLC,12/01/2022 15:00 UTC,29.73,42.08,40.72,13.81,,1.0,,10.0
KSLC,12/01/2022 15:05 UTC,29.73,44.6,36.13,17.26,,1.0,,10.0
KSLC,12/01/2022 15:10 UTC,29.72,44.06,37.75,14.96,,1.0,,10.0
KSLC,12/01/2022 15:15 UTC,29.72,44.06,37.75,12.66,,1.0,,10.0
KSLC,12/01/2022 15:20 UTC,29.73,44.6,36.13,14.96,,1.0,,10.0
KSLC,12/01/2022 15:25 UTC,29.73,44.06,37.75,14.96,,1.0,,10.0
KSLC,12/01/2022 15:30 UTC,29.73,44.6,36.13,13.81,,1.0,,10.0
KSLC,12/01/2022 15:35 UTC,29.73,44.6,36.13,14.96,,1.0,,10.0
KSLC,12/01/2022 15:40 UTC,29.73,44.96,36.47,12.66,,1.0,,10.0
KSLC,12/01/2022 15:45 UTC,29.73,44.6,39.02,14.96,,1.0,,10.0
KSLC,12/01/2022 15:50 UTC,29.73,44.6,36.13,16.11,,1.0,,10.0
KSLC,12/01/2022 15:54 UTC,29.72,44.96,36.47,16.11,,1402.0,2303.0,10.0
KSLC,12/01/2022 15:55 UTC,29.72,44.96,36.47,14.96,,1.0,,10.0
KSLC,12/01/2022 16:00 UTC,29.72,46.4,33.75,16.11,,1.0,,10.0
KSLC,12/01/2022 16:05 UTC,29.72,46.4,33.75,19.56,,1.0,,10.0
KSLC,12/01/2022 16:10 UTC,29.71,46.04,36.66,18.41,,1.0,,10.0
KSLC,12/01/2022 16:15 UTC,29.71,46.04,36.66,21.86,,1.0,,10.0
KSLC,12/01/2022 16:20 UTC,29.71,46.04,36.66,25.32,,1.0,,10.0
KSLC,12/01/2022 16:25 UTC,29.71,46.94,36.81,25.32,,1.0,,10.0
KSLC,12/01/2022 16:30 UTC,29.71,46.94,36.81,21.86,,1.0,,10.0
KSLC,12/01/2022 16:35 UTC,29.71,46.94,36.81,19.56,,1.0,,10.0
KSLC,12/01/2022 16:40 UTC,29.71,46.94,35.43,24.17,,1.0,,10.0
KSLC,12/01/2022 16:45 UTC,29.71,48.2,34.05,23.02,,1.0,,10.0
KSLC,12/01/2022 16:50 UTC,29.71,46.4,36.44,24.17,,1603.0,2303.0,10.0
KSLC,12/01/2022 16:54 UTC,29.71,46.94,35.43,25.32,,1603.0,2303.0,10.0
KSLC,12/01/2022 16:55 UTC,29.72,46.94,35.43,25.32,,1.0,,10.0
KSLC,12/01/2022 17:00 UTC,29.72,46.4,36.44,24.17,,1.0,,10.0
KSLC,12/01/2022 17:05 UTC,29.72,46.4,36.44,25.32,,1.0,,10.0
KSLC,12/01/2022 17:10 UTC,29.72,48.02,35.35,24.17,,1.0,,10.0
KSLC,12/01/2022 17:15 UTC,29.72,48.02,35.35,19.56,,1.0,,10.0
KSLC,12/01/2022 17:20 UTC,29.72,46.4,36.44,17.26,,1.0,,10.0
KSLC,12/01/2022 17:25 UTC,29.72,46.4,36.44,19.56,,1.0,,10.0
KSLC,12/01/2022 17:30 UTC,29.73,46.4,36.44,20.71,,1.0,,10.0
KSLC,12/01/2022 17:35 UTC,29.73,46.4,36.44,21.86,,1.0,,10.0
KSLC,12/01/2022 17:40 UTC,29.73,46.94,35.43,21.86,,1.0,,10.0
KSLC,12/01/2022 17:45 UTC,29.73,46.4,36.44,20.71,,1.0,,10.0
KSLC,12/01/2022 17:50 UTC,29.73,46.4,36.44,19.56,2303.0,856.0,1403.0,10.0
KSLC,12/01/2022 17:54 UTC,29.73,46.94,35.43,21.86,2303.0,856.0,1403.0,10.0
KSLC,12/01/2022 17:55 UTC,29.73,46.94,35.43,20.71,,1.0,,10.0
KSLC,12/01/2022 18:00 UTC,29.73,46.4,36.44,19.56,,1.0,,10.0
KSLC,12/01/2022 18:05 UTC,29.73,46.4,36.44,19.56,,1.0,,10.0
KSLC,12/01/2022 18:10 UTC,29.73,48.02,35.35,19.56,,1.0,,10.0
KSLC,12/01/2022 18:15 UTC,29.72,48.02,34.02,20.71,,1.0,,10.0
KSLC,12/01/2022 18:20 UTC,29.72,48.2,34.05,24.17,,1.0,,10.0
KSLC,12/01/2022 18:25 UTC,29.72,48.02,34.02,23.02,,1.0,,10.0
KSLC,12/01/2022 18:30 UTC,29.72,48.2,34.05,25.32,,1.0,,10.0
KSLC,12/01/2022 18:35 UTC,29.72,48.2,34.05,24.17,,1.0,,10.0
KSLC,12/01/2022 18:40 UTC,29.72,48.92,34.18,24.17,,1.0,,10.0
KSLC,12/01/2022 18:45 UTC,29.72,48.2,34.05,23.02,,1.0,,10.0
KSLC,12/01/2022 18:50 UTC,29.71,50.0,31.84,23.02,2203.0,856.0,1402.0,10.0
KSLC,12/01/2022 18:54 UTC,29.71,50.0,32.83,25.32,2203.0,856.0,1402.0,10.0
KSLC,12/01/2022 18:55 UTC,29.71,50.0,32.83,24.17,,1.0,,10.0
KSLC,12/01/2022 19:00 UTC,29.71,50.0,31.84,28.77,,1.0,,10.0
KSLC,12/01/2022 19:05 UTC,29.71,50.0,31.84,25.32,,1.0,,10.0
KSLC,12/01/2022 19:10 UTC,29.7,50.0,31.6,26.47,,1.0,,10.0
KSLC,12/01/2022 19:15 UTC,29.7,50.0,31.6,27.62,,1.0,,10.0
KSLC,12/01/2022 19:20 UTC,29.7,50.0,31.84,24.17,,1.0,,10.0
KSLC,12/01/2022 19:25 UTC,29.7,50.0,31.84,27.62,,1.0,,10.0
KSLC,12/01/2022 19:30 UTC,29.7,50.0,31.6,25.32,,1.0,,10.0
KSLC,12/01/2022 19:35 UTC,29.69,50.0,31.6,21.86,,1.0,,10.0
KSLC,12/01/2022 19:40 UTC,29.69,51.08,30.36,23.02,,1.0,,10.0
KSLC,12/01/2022 19:45 UTC,29.69,51.8,29.79,25.32,,1.0,,10.0
KSLC,12/01/2022 19:50 UTC,29.68,51.8,29.79,25.32,2103.0,906.0,1403.0,10.0
KSLC,12/01/2022 19:54 UTC,29.68,51.08,30.36,26.47,2103.0,906.0,1403.0,10.0
KSLC,12/01/2022 19:55 UTC,29.68,51.08,30.36,25.32,,1.0,,10.0
KSLC,12/01/2022 20:00 UTC,29.68,51.8,29.79,23.02,,1.0,,10.0
KSLC,12/01/2022 20:05 UTC,29.68,51.8,29.79,25.32,,1.0,,10.0
KSLC,12/01/2022 20:10 UTC,29.68,51.08,30.36,29.92,,1.0,,10.0
KSLC,12/01/2022 20:15 UTC,29.68,51.08,30.36,29.92,,1.0,,10.0
KSLC,12/01/2022 20:20 UTC,29.67,51.8,29.79,23.02,,1.0,,10.0
KSLC,12/01/2022 20:25 UTC,29.67,51.08,30.36,24.17,,1.0,,10.0
KSLC,12/01/2022 20:30 UTC,29.67,51.08,30.36,32.22,,1.0,,10.0
KSLC,12/01/2022 20:35 UTC,29.68,51.08,30.36,25.32,,1.0,,10.0
KSLC,12/01/2022 20:40 UTC,29.68,51.08,30.36,27.62,,1.0,,10.0
KSLC,12/01/2022 20:45 UTC,29.67,51.08,30.36,20.71,,1.0,,10.0
KSLC,12/01/2022 20:50 UTC,29.67,51.08,30.36,24.17,2103.0,906.0,1603.0,10.0
KSLC,12/01/2022 20:54 UTC,29.67,51.08,30.36,24.17,2103.0,906.0,1603.0,10.0
KSLC,12/01/2022 20:55 UTC,29.67,51.08,30.36,23.02,,1.0,,10.0
KSLC,12/01/2022 21:00 UTC,29.67,51.8,29.79,23.02,,1.0,,10.0
KSLC,12/01/2022 21:05 UTC,29.67,51.8,29.79,18.41,,1.0,,10.0
KSLC,12/01/2022 21:10 UTC,29.68,51.08,30.36,20.71,,1.0,,10.0
KSLC,12/01/2022 21:15 UTC,29.67,51.08,30.36,18.41,,1.0,,10.0
KSLC,12/01/2022 21:20 UTC,29.68,51.08,30.36,20.71,,1.0,,10.0
KSLC,12/01/2022 21:25 UTC,29.67,51.08,30.36,19.56,,1206.0,,10.0
KSLC,12/01/2022 21:30 UTC,29.67,51.08,30.36,19.56,,1203.0,,10.0
KSLC,12/01/2022 21:35 UTC,29.67,51.08,30.36,23.02,,1203.0,,10.0
KSLC,12/01/2022 21:40 UTC,29.67,51.98,29.37,23.02,,1203.0,,10.0
