Station_ID,Date_Time,KU42Press,KU42Temp,KU42Humidity,KU42Wind,KU42Cloud3,KU42Cloud1,KU42Cloud2,KU42Vis
KU42,12/01/2022 20:15 UTC,29.7,45.14,49.38,24.17,,1.0,,10.0
KU42,12/01/2022 20:35 UTC,29.7,44.96,50.47,23.02,,1.0,,10.0
KU42,12/01/2022 20:55 UTC,29.69,45.14,50.87,24.17,,1.0,,10.0
KU42,12/01/2022 21:15 UTC,29.69,45.5,50.93,19.56,,1.0,,10.0
KU42,12/01/2022 21:35 UTC,29.68,45.86,49.87,21.86,,1.0,,10.0
KU42,12/01/2022 21:55 UTC,29.69,45.86,50.24,20.71,,1.0,,10.0
KU42,12/01/2022 22:15 UTC,29.68,46.4,48.5,19.56,,1.0,,10.0
KU42,12/01/2022 22:35 UTC,29.68,46.76,48.92,17.26,,1102.0,,10.0
KU42,12/01/2022 22:55 UTC,29.67,47.3,47.93,16.11,,1103.0,,10.0
KU42,12/01/2022 23:15 UTC,29.67,46.94,48.59,16.11,,1102.0,,10.0
KU42,12/01/2022 23:35 UTC,29.67,46.76,48.56,14.96,,1103.0,,10.0
KU42,12/01/2022 23:55 UTC,29.67,46.22,49.19,19.56,,1103.0,,10.0
KU42,12/02/2022 00:15 UTC,29.67,45.86,50.24,17.26,,1102.0,,10.0
KU42,12/02/2022 00:35 UTC,29.67,46.4,48.86,19.56,,1203.0,,10.0
KU42,12/02/2022 00:55 UTC,29.68,46.22,49.19,18.41,,1104.0,,10.0
KU42,12/02/2022 01:15 UTC,29.68,46.4,48.86,17.26,,1104.0,,10.0
KU42,12/02/2022 01:35 UTC,29.67,46.22,49.56,18.41,,1104.0,,10.0
KU42,12/02/2022 01:55 UTC,29.67,46.4,49.22,21.86,,1104.0,,10.0
KU42,12/02/2022 02:15 UTC,29.67,46.58,48.89,14.96,,1004.0,,10.0
KU42,12/02/2022 02:35 UTC,29.66,46.4,49.95,18.41,,1104.0,,10.0
KU42,12/02/2022 02:55 UTC,29.66,46.4,50.32,24.17,,1104.0,,10.0
KU42,12/02/2022 03:15 UTC,29.66,46.04,51.01,23.02,,1104.0,,10.0
KU42,12/02/2022 03:35 UTC,29.65,45.86,51.36,25.32,,1104.0,,10.0
KU42,12/02/2022 03:55 UTC,29.65,45.5,52.45,21.86,,1104.0,,10.0
KU42,12/02/2022 04:15 UTC,29.64,46.22,51.42,20.71,,1104.0,,10.0
KU42,12/02/2022 04:35 UTC,29.63,45.86,52.12,26.47,,1104.0,,10.0
KU42,12/02/2022 04:55 UTC,29.61,46.04,52.15,37.98,,1104.0,,10.0
KU42,12/02/2022 05:15 UTC,29.62,45.68,52.87,28.77,,1104.0,,10.0
KU42,12/02/2022 05:35 UTC,29.62,45.5,54.02,25.32,,1104.0,,10.0
KU42,12/02/2022 05:55 UTC,29.62,45.68,54.05,25.32,,1203.0,,10.0
KU42,12/02/2022 06:15 UTC,29.61,45.5,54.82,23.02,,1103.0,,10.0
KU42,12/02/2022 06:35 UTC,29.61,45.68,55.65,29.92,,1002.0,1203.0,10.0
KU42,12/02/2022 06:55 UTC,29.6,45.5,56.86,26.47,,1204.0,,10.0
KU42,12/02/2022 07:15 UTC,29.6,45.14,57.64,26.47,,1104.0,,10.0
KU42,12/02/2022 07:35 UTC,29.59,45.14,58.06,27.62,,1203.0,,10.0
KU42,12/02/2022 07:55 UTC,29.59,44.6,59.7,20.71,,1204.0,,10.0
KU42,12/02/2022 08:15 UTC,29.58,45.32,58.94,20.71,,1104.0,,10.0
KU42,12/02/2022 08:35 UTC,29.6,45.5,58.97,16.11,,1004.0,,10.0
KU42,12/02/2022 08:55 UTC,29.68,45.32,60.24,21.86,,702.0,904.0,10.0
KU42,12/02/2022 09:15 UTC,29.73,30.38,100.0,29.92,,93.0,254.0,1.0
KU42,12/02/2022 09:35 UTC,29.76,29.48,100.0,25.32,,74.0,,0.75
KU42,12/02/2022 09:55 UTC,29.78,28.4,100.0,23.02,,54.0,,1.0
KU42,12/02/2022 10:15 UTC,29.82,28.22,100.0,11.51,,54.0,,1.0
KU42,12/02/2022 10:35 UTC,29.85,28.22,100.0,6.91,,54.0,,1.0
KU42,12/02/2022 10:55 UTC,29.87,27.5,100.0,10.36,,54.0,,0.75
KU42,12/02/2022 11:15 UTC,29.88,27.32,100.0,10.36,,54.0,,1.25
KU42,12/02/2022 11:35 UTC,29.91,27.32,100.0,11.51,,54.0,,1.0
KU42,12/02/2022 11:55 UTC,29.92,26.78,100.0,10.36,,54.0,,0.5
KU42,12/02/2022 12:15 UTC,29.92,26.6,100.0,10.36,,54.0,,0.5
KU42,12/02/2022 12:35 UTC,29.94,26.42,100.0,12.66,,54.0,,1.5
KU42,12/02/2022 12:55 UTC,29.96,26.06,100.0,13.81,,74.0,,1.25
KU42,12/02/2022 13:15 UTC,29.98,25.7,100.0,13.81,,74.0,,
KU42,12/02/2022 13:35 UTC,29.98,24.8,100.0,12.66,494.0,73.0,123.0,
KU42,12/02/2022 13:55 UTC,30.02,24.8,100.0,10.36,504.0,53.0,263.0,
KU42,12/02/2022 14:15 UTC,30.04,24.26,100.0,10.36,604.0,53.0,323.0,
KU42,12/02/2022 14:35 UTC,30.05,23.9,100.0,8.06,704.0,282.0,603.0,10.0
KU42,12/02/2022 14:55 UTC,30.08,24.44,100.0,6.91,754.0,243.0,303.0,10.0
KU42,12/02/2022 15:15 UTC,30.09,23.72,100.0,5.75,704.0,263.0,323.0,10.0
KU42,12/02/2022 15:35 UTC,30.11,23.18,100.0,0.0,702.0,262.0,312.0,10.0
KU42,12/02/2022 15:55 UTC,30.12,23.18,100.0,3.45,,703.0,,10.0
KU42,12/02/2022 16:15 UTC,30.14,22.64,100.0,3.45,,703.0,,10.0
KU42,12/02/2022 16:35 UTC,30.16,24.62,97.03,3.45,,704.0,,10.0
KU42,12/02/2022 16:55 UTC,30.18,26.24,90.02,0.0,,804.0,,10.0
KU42,12/02/2022 17:15 UTC,30.2,26.06,88.66,0.0,,652.0,803.0,10.0
KU42,12/02/2022 17:35 UTC,30.21,26.78,85.4,0.0,,652.0,804.0,10.0
KU42,12/02/2022 17:55 UTC,30.22,28.22,82.33,0.0,,803.0,,10.0
KU42,12/02/2022 18:15 UTC,30.23,28.04,80.47,0.0,,803.0,,10.0
KU42,12/02/2022 18:35 UTC,30.24,28.4,73.47,0.0,,804.0,,10.0
KU42,12/02/2022 18:55 UTC,30.25,29.3,71.35,0.0,,804.0,,10.0
KU42,12/02/2022 19:15 UTC,30.25,28.76,71.29,4.6,,804.0,,10.0
KU42,12/02/2022 19:35 UTC,30.26,28.4,70.16,5.75,,803.0,,10.0
KU42,12/02/2022 19:55 UTC,30.25,28.58,72.37,3.45,,802.0,,10.0
KU42,12/02/2022 20:15 UTC,30.25,29.3,69.2,4.6,,702.0,,10.0
KU42,12/02/2022 20:35 UTC,30.25,29.48,63.6,4.6,,702.0,,10.0
KU42,12/02/2022 20:55 UTC,30.26,28.94,63.52,0.0,,1.0,,10.0
KU42,12/02/2022 21:15 UTC,30.26,29.3,59.74,4.6,,1.0,,10.0
KU42,12/02/2022 21:35 UTC,30.27,28.76,64.49,0.0,,652.0,,10.0
KU42,12/02/2022 21:55 UTC,30.27,28.4,61.5,3.45,,653.0,,10.0
KU42,12/02/2022 22:15 UTC,30.26,28.76,62.52,4.6,,652.0,,10.0
KU42,12/02/2022 22:35 UTC,30.26,29.3,58.81,0.0,,1.0,,10.0
KU42,12/02/2022 22:55 UTC,30.26,28.4,64.44,0.0,,1.0,,10.0
KU42,12/02/2022 23:15 UTC,30.27,28.22,69.07,0.0,,1.0,,10.0
KU42,12/02/2022 23:35 UTC,30.27,27.32,68.96,3.45,,1.0,,10.0
KU42,12/02/2022 23:55 UTC,30.28,24.62,76.55,4.6,,1.0,,10.0
KU42,12/03/2022 00:15 UTC,30.28,23.72,74.69,6.91,,502.0,,10.0
KU42,12/03/2022 00:35 UTC,30.28,21.74,78.69,6.91,,1.0,,10.0
KU42,12/03/2022 00:55 UTC,30.28,22.1,77.5,3.45,,1.0,,10.0
KU42,12/03/2022 01:15 UTC,30.29,19.22,85.58,0.0,,1.0,,10.0
KU42,12/03/2022 01:35 UTC,30.28,18.86,88.98,0.0,,1.0,,10.0
KU42,12/03/2022 01:55 UTC,30.28,16.7,85.41,0.0,,1.0,,10.0
KU42,12/03/2022 02:15 UTC,30.29,16.88,90.3,0.0,,1.0,,10.0
KU42,12/03/2022 02:35 UTC,30.29,16.34,94.65,0.0,,1.0,,10.0
KU42,12/03/2022 02:55 UTC,30.29,17.96,82.18,0.0,,1.0,,10.0
KU42,12/03/2022 03:15 UTC,30.3,20.48,84.99,0.0,,1.0,,10.0
KU42,12/03/2022 03:35 UTC,30.3,20.48,84.99,0.0,,1.0,,10.0
KU42,12/03/2022 03:55 UTC,30.31,18.5,90.37,0.0,,1.0,,10.0
KU42,12/03/2022 04:15 UTC,30.31,18.14,88.94,0.0,,1.0,,10.0
KU42,12/03/2022 04:35 UTC,30.31,19.22,85.58,5.75,,1.0,,10.0
KU42,12/03/2022 04:55 UTC,30.31,18.5,85.53,6.91,,1.0,,10.0
KU42,12/03/2022 05:15 UTC,30.32,19.4,83.6,8.06,,1.0,,10.0
KU42,12/03/2022 05:35 UTC,30.32,18.14,86.19,5.75,,1.0,,10.0
KU42,12/03/2022 05:55 UTC,30.32,17.96,85.5,6.91,,1.0,,10.0
KU42,12/03/2022 06:15 UTC,30.31,19.04,83.57,8.06,,1.0,,10.0
KU42,12/03/2022 06:35 UTC,30.31,19.4,85.59,3.45,,1.0,,10.0
KU42,12/03/2022 06:55 UTC,30.31,20.48,80.46,4.6,,1.0,,10.0
KU42,12/03/2022 07:15 UTC,30.31,17.6,86.84,0.0,,1.0,,10.0
KU42,12/03/2022 07:35 UTC,30.3,19.22,85.58,4.6,,1.0,,10.0
KU42,12/03/2022 07:55 UTC,30.31,20.3,84.32,3.45,,1.0,,10.0
KU42,12/03/2022 08:15 UTC,30.3,21.56,81.18,3.45,,1.0,,10.0
KU42,12/03/2022 08:35 UTC,30.29,23.9,82.63,11.51,,1.0,,10.0
KU42,12/03/2022 08:55 UTC,30.29,23.9,83.27,11.51,,1.0,,10.0
KU42,12/03/2022 09:15 UTC,30.28,24.26,83.94,13.81,,1.0,,10.0
KU42,12/03/2022 09:35 UTC,30.29,23.9,83.92,10.36,,1.0,,10.0
KU42,12/03/2022 09:55 UTC,30.29,23.0,85.16,9.21,,1.0,,10.0
KU42,12/03/2022 10:15 UTC,30.28,23.36,84.53,9.21,,1.0,,10.0
KU42,12/03/2022 10:35 UTC,30.28,23.36,80.7,4.6,,1.0,,10.0
KU42,12/03/2022 10:55 UTC,30.28,22.46,81.89,0.0,,1.0,,10.0
KU42,12/03/2022 11:15 UTC,30.28,21.56,85.73,3.45,,1.0,,10.0
KU42,12/03/2022 11:35 UTC,30.28,21.38,91.2,0.0,,1.0,,10.0
KU42,12/03/2022 11:55 UTC,30.28,21.56,89.11,0.0,,1.0,,10.0
KU42,12/03/2022 12:15 UTC,30.27,22.1,86.43,0.0,,1.0,,10.0
KU42,12/03/2022 12:35 UTC,30.28,21.74,86.41,0.0,,1.0,,10.0
KU42,12/03/2022 12:55 UTC,30.28,22.64,83.83,4.6,,1.0,,10.0
KU42,12/03/2022 13:15 UTC,30.28,23.18,83.22,6.91,,1.0,,10.0
KU42,12/03/2022 13:35 UTC,30.28,21.2,88.41,3.45,,1.0,,10.0
KU42,12/03/2022 13:55 UTC,30.27,22.1,86.43,5.75,,1.0,,10.0
KU42,12/03/2022 14:15 UTC,30.28,22.28,89.15,4.6,,1.0,,10.0
KU42,12/03/2022 14:35 UTC,30.28,20.84,91.88,0.0,,1.0,,10.0
KU42,12/03/2022 14:55 UTC,30.28,22.64,88.48,0.0,,1.0,,10.0
KU42,12/03/2022 15:15 UTC,30.28,21.56,91.2,0.0,,1.0,,10.0
KU42,12/03/2022 15:35 UTC,30.28,22.46,89.16,3.45,,1.0,,10.0
KU42,12/03/2022 15:55 UTC,30.28,23.9,85.88,0.0,,1.0,,10.0
KU42,12/03/2022 16:15 UTC,30.28,24.44,83.96,0.0,,1.0,,10.0
KU42,12/03/2022 16:35 UTC,30.29,23.0,89.19,0.0,,1.0,,10.0
KU42,12/03/2022 16:55 UTC,30.29,23.54,87.18,0.0,,1.0,,10.0
KU42,12/03/2022 17:15 UTC,30.29,23.9,88.55,0.0,,1.0,,10.0
KU42,12/03/2022 17:35 UTC,30.3,26.06,83.43,0.0,,1.0,,10.0
KU42,12/03/2022 17:55 UTC,30.31,26.78,82.85,3.45,,1.0,,10.0
KU42,12/03/2022 18:15 UTC,30.31,27.5,81.04,3.45,,1.0,,10.0
KU42,12/03/2022 18:35 UTC,30.3,26.24,88.67,8.06,,1.0,,10.0
KU42,12/03/2022 18:55 UTC,30.29,26.6,87.36,3.45,,1.0,,10.0
KU42,12/03/2022 19:15 UTC,30.28,26.6,87.36,0.0,,1.0,,10.0
KU42,12/03/2022 19:35 UTC,30.27,27.5,82.28,0.0,,1.0,,10.0
KU42,12/03/2022 19:55 UTC,30.27,28.22,82.33,3.45,,1.0,,10.0
KU42,12/03/2022 20:15 UTC,30.27,28.76,84.25,6.91,,1.0,,10.0
KU42,12/03/2022 20:35 UTC,30.27,27.32,86.74,5.75,,1.0,,10.0
KU42,12/03/2022 20:55 UTC,30.26,27.5,87.41,0.0,,1.0,,10.0
KU42,12/03/2022 21:15 UTC,30.25,27.5,87.41,3.45,,1202.0,,10.0
KU42,12/03/2022 21:35 UTC,30.25,28.04,84.21,0.0,,1202.0,,10.0
KU42,12/03/2022 21:55 UTC,30.24,28.22,85.5,0.0,,402.0,1103.0,10.0
KU42,12/03/2022 22:15 UTC,30.24,28.94,79.33,0.0,,402.0,1104.0,10.0
KU42,12/03/2022 22:35 UTC,30.24,30.02,81.24,0.0,,404.0,,10.0
KU42,12/03/2022 22:55 UTC,30.24,30.02,81.85,0.0,,404.0,,10.0
KU42,12/03/2022 23:15 UTC,30.24,30.02,83.71,0.0,,352.0,404.0,10.0
KU42,12/03/2022 23:35 UTC,30.24,29.3,86.85,0.0,,352.0,404.0,10.0
KU42,12/03/2022 23:55 UTC,30.24,28.58,90.12,4.6,,404.0,,10.0
KU42,12/04/2022 00:15 UTC,30.24,26.78,92.8,6.91,1003.0,403.0,473.0,10.0
KU42,12/04/2022 00:35 UTC,30.25,24.08,94.84,5.75,,422.0,1002.0,10.0
KU42,12/04/2022 00:55 UTC,30.25,25.34,97.04,3.45,852.0,332.0,382.0,10.0
KU42,12/04/2022 01:15 UTC,30.25,25.7,95.6,3.45,,383.0,854.0,10.0
KU42,12/04/2022 01:35 UTC,30.25,24.8,97.03,0.0,,364.0,,10.0
KU42,12/04/2022 01:55 UTC,30.26,25.52,96.32,3.45,,334.0,,10.0
KU42,12/04/2022 02:15 UTC,30.26,24.8,98.51,4.6,,354.0,,10.0
KU42,12/04/2022 02:35 UTC,30.26,25.88,96.32,3.45,,354.0,,10.0
KU42,12/04/2022 02:55 UTC,30.26,26.6,95.62,0.0,,354.0,,10.0
KU42,12/04/2022 03:15 UTC,30.26,26.24,94.18,0.0,754.0,332.0,392.0,10.0
KU42,12/04/2022 03:35 UTC,30.27,26.42,90.71,0.0,754.0,432.0,653.0,10.0
KU42,12/04/2022 03:55 UTC,30.26,27.32,88.06,0.0,,393.0,654.0,10.0
KU42,12/04/2022 04:15 UTC,30.25,27.14,90.74,0.0,804.0,352.0,413.0,10.0
KU42,12/04/2022 04:35 UTC,30.25,27.5,96.35,0.0,804.0,352.0,412.0,10.0
KU42,12/04/2022 04:55 UTC,30.25,28.22,91.47,0.0,,804.0,,10.0
KU42,12/04/2022 05:15 UTC,30.24,27.5,90.76,0.0,,704.0,,10.0
KU42,12/04/2022 05:35 UTC,30.24,27.5,90.76,0.0,,704.0,,10.0
KU42,12/04/2022 05:55 UTC,30.24,27.32,96.35,0.0,,432.0,704.0,10.0
KU42,12/04/2022 06:15 UTC,30.24,27.5,89.4,0.0,,452.0,704.0,10.0
KU42,12/04/2022 06:35 UTC,30.24,27.5,89.4,0.0,,493.0,704.0,10.0
KU42,12/04/2022 06:55 UTC,30.22,27.68,93.52,0.0,,444.0,,10.0
KU42,12/04/2022 07:15 UTC,30.22,28.4,89.45,0.0,,393.0,454.0,10.0
KU42,12/04/2022 07:35 UTC,30.22,28.4,90.79,0.0,654.0,372.0,453.0,10.0
KU42,12/04/2022 07:55 UTC,30.21,28.22,92.15,0.0,,652.0,854.0,10.0
KU42,12/04/2022 08:15 UTC,30.2,28.04,94.23,0.0,,854.0,,10.0
KU42,12/04/2022 08:35 UTC,30.18,28.22,92.84,0.0,,854.0,,10.0
KU42,12/04/2022 08:55 UTC,30.17,28.4,92.85,0.0,,854.0,,10.0
KU42,12/04/2022 09:15 UTC,30.17,28.04,94.23,0.0,,853.0,,10.0
KU42,12/04/2022 09:35 UTC,30.17,26.06,96.33,0.0,,852.0,,10.0
KU42,12/04/2022 09:55 UTC,30.17,25.16,98.51,3.45,,1.0,,10.0
KU42,12/04/2022 10:15 UTC,30.16,24.98,100.0,0.0,,1.0,,10.0
KU42,12/04/2022 10:35 UTC,30.15,25.7,98.51,0.0,,1.0,,10.0
KU42,12/04/2022 10:55 UTC,30.15,27.5,97.07,0.0,,902.0,,10.0
KU42,12/04/2022 11:15 UTC,30.14,26.6,100.0,3.45,,904.0,,10.0
KU42,12/04/2022 11:35 UTC,30.13,27.5,100.0,4.6,,904.0,,10.0
KU42,12/04/2022 11:55 UTC,30.13,27.5,94.22,0.0,,904.0,,10.0
KU42,12/04/2022 12:15 UTC,30.11,27.5,90.76,3.45,,904.0,,10.0
KU42,12/04/2022 12:35 UTC,30.1,28.22,96.36,5.75,,904.0,,10.0
KU42,12/04/2022 12:55 UTC,30.09,31.64,96.42,5.75,,904.0,,10.0
KU42,12/04/2022 13:15 UTC,30.1,28.22,93.54,3.45,,904.0,,10.0
KU42,12/04/2022 13:35 UTC,30.1,28.22,95.65,8.06,,904.0,,10.0
KU42,12/04/2022 13:55 UTC,30.1,27.86,92.14,5.75,,904.0,,10.0
KU42,12/04/2022 14:15 UTC,30.1,27.32,96.35,4.6,,904.0,,10.0
KU42,12/04/2022 14:35 UTC,30.1,27.32,96.35,0.0,,903.0,,10.0
KU42,12/04/2022 14:55 UTC,30.1,27.86,94.93,4.6,,902.0,1203.0,10.0
KU42,12/04/2022 15:15 UTC,30.09,28.22,94.24,0.0,,902.0,1204.0,10.0
KU42,12/04/2022 15:35 UTC,30.09,28.04,93.53,3.45,,1103.0,,10.0
KU42,12/04/2022 15:55 UTC,30.09,28.22,92.84,0.0,,1002.0,1203.0,10.0
KU42,12/04/2022 17:35 UTC,30.08,34.16,89.71,9.21,,802.0,904.0,10.0
KU42,12/04/2022 17:55 UTC,30.06,31.64,90.26,0.0,,902.0,1104.0,10.0
KU42,12/04/2022 18:15 UTC,30.07,32.18,92.97,6.91,,902.0,1203.0,10.0
KU42,12/04/2022 18:35 UTC,30.05,32.54,95.04,0.0,,903.0,1203.0,10.0
KU42,12/04/2022 18:55 UTC,30.02,41.72,76.48,13.81,,902.0,1103.0,10.0
KU42,12/04/2022 19:15 UTC,30.02,38.12,78.39,8.06,1103.0,702.0,902.0,10.0
KU42,12/04/2022 19:35 UTC,30.02,32.72,93.67,9.21,,804.0,,10.0
KU42,12/04/2022 19:55 UTC,30.01,32.18,95.03,12.66,,804.0,,10.0
KU42,12/04/2022 20:15 UTC,30.0,32.0,92.96,10.36,,803.0,1104.0,10.0
KU42,12/04/2022 20:35 UTC,30.0,32.54,92.98,6.91,,802.0,1102.0,10.0
KU42,12/04/2022 20:55 UTC,29.99,33.62,89.69,4.6,,702.0,902.0,10.0
KU42,12/04/2022 21:15 UTC,29.98,34.7,88.44,3.45,,702.0,903.0,10.0
KU42,12/04/2022 21:35 UTC,29.98,35.96,85.35,0.0,,803.0,,10.0
KU42,12/04/2022 21:55 UTC,29.97,37.76,83.03,0.0,,803.0,,10.0
KU42,12/04/2022 22:15 UTC,29.96,38.12,82.46,0.0,,902.0,,10.0
KU42,12/04/2022 22:35 UTC,29.96,38.12,82.46,0.0,,1.0,,10.0
KU42,12/04/2022 22:55 UTC,29.95,37.58,83.02,3.45,,802.0,,10.0
KU42,12/04/2022 23:15 UTC,29.94,35.42,87.84,6.91,,1.0,,10.0
KU42,12/04/2022 23:35 UTC,29.94,35.6,87.21,0.0,,752.0,,10.0
KU42,12/04/2022 23:55 UTC,29.94,34.88,89.74,0.0,,754.0,,10.0
KU42,12/05/2022 00:15 UTC,29.94,32.36,97.84,5.75,,754.0,,10.0
KU42,12/05/2022 00:35 UTC,29.94,32.18,99.28,3.45,,754.0,,10.0
KU42,12/05/2022 00:55 UTC,29.94,32.72,97.14,0.0,,754.0,,10.0
KU42,12/05/2022 01:15 UTC,29.93,33.08,95.75,3.45,,653.0,903.0,10.0
KU42,12/05/2022 01:35 UTC,29.93,33.44,96.45,0.0,,652.0,904.0,10.0
KU42,12/05/2022 01:55 UTC,29.92,33.8,94.38,3.45,,652.0,903.0,10.0
KU42,12/05/2022 02:15 UTC,29.91,33.62,95.76,0.0,,902.0,,10.0
KU42,12/05/2022 02:35 UTC,29.92,31.1,100.0,10.36,,1.0,,10.0
KU42,12/05/2022 02:55 UTC,29.92,32.18,98.56,6.91,,902.0,,10.0
KU42,12/05/2022 03:15 UTC,29.92,33.8,97.86,0.0,,752.0,903.0,10.0
KU42,12/05/2022 03:35 UTC,29.92,39.02,86.16,4.6,,752.0,1002.0,10.0
KU42,12/05/2022 03:55 UTC,29.92,38.84,89.28,0.0,,1003.0,,10.0
KU42,12/05/2022 04:15 UTC,29.92,41.0,85.67,3.45,,802.0,1004.0,10.0
KU42,12/05/2022 04:35 UTC,29.92,40.28,86.85,8.06,,702.0,904.0,10.0
KU42,12/05/2022 04:55 UTC,29.94,37.22,87.93,25.32,,653.0,904.0,10.0
KU42,12/05/2022 05:15 UTC,29.97,32.18,97.13,28.77,,653.0,904.0,10.0
KU42,12/05/2022 05:35 UTC,29.98,32.0,97.13,26.47,904.0,552.0,653.0,10.0
